party,votes,is_ind,region
party_24,-106138,False,gp
party_25,154555,False,gp
party_26,-89989,False,gp
party_27,14897,False,gp
party_28,76265,False,gp
party_29,-24129,False,gp
party_30,-168385,False,gp
party_31,184625,False,gp
party_32,-161922,False,gp
party_33,219805,False,gp
party_34,-316230,False,gp
party_35,34888,False,gp
party_36,248029,False,gp
party_37,-41343,False,gp
party_38,55568,False,gp
party_39,-204649,False,gp
party_40,89805,False,gp
party_41,-49779,False,gp
party_42,22343,False,gp
party_43,-16926,False,gp
party_44,185427,False,gp
party_45,-329980,False,gp
party_46,343922,False,gp
ind_1,545735,True,gp
ind_2,-157692,True,gp
ind_3,946636,True,gp
ind_4,-1268476,True,gp
ind_5,839385,True,gp
ind_6,487892,True,gp
party_1,160775,False,kzn
party_2,897138,False,kzn
party_3,70769,False,kzn
party_4,46427,False,kzn
party_5,15102,False,kzn
party_6,40494,False,kzn
party_7,-17358,False,kzn
party_8,21122,False,kzn
party_9,-72480,False,kzn
party_10,93709,False,kzn
party_11,-122181,False,kzn
party_12,15324,False,kzn
party_13,101631,False,kzn
party_14,-16174,False,kzn
party_15,-26864,False,kzn
party_16,-23468,False,kzn
party_17,1759,False,kzn
party_18,39964,False,kzn
party_19,-14163,False,kzn
party_20,-55312,False,kzn
party_21,94870,False,kzn
party_22,-4390,False,kzn
party_23,18773,False,kzn
party_24,-80607,False,kzn
party_25,-6771,False,kzn
party_26,1583,False,kzn
party_27,78483,False,kzn
party_28,-71332,False,kzn
party_29,-1571,False,kzn
party_30,-55555,False,kzn
party_31,60798,False,kzn
party_32,-34101,False,kzn
party_33,72785,False,kzn
party_34,38990,False,kzn
party_35,-26671,False,kzn
party_36,15962,False,kzn
party_37,-66486,False,kzn
party_38,-38459,False,kzn
party_39,111397,False,kzn
party_40,-114921,False,kzn
party_41,-13339,False,kzn
party_42,65504,False,kzn
party_43,-25934,False,kzn
party_44,-28523,False,kzn
party_45,57863,False,kzn
party_46,67764,False,kzn
ind_1,270846,True,kzn
ind_2,-270442,True,kzn
ind_3,702882,True,kzn
ind_4,1291983,True,kzn
ind_5,-671786,True,kzn
ind_6,1056768,True,kzn
party_1,715460,False,lp
party_2,169114,False,lp
party_3,370559,False,lp
party_4,140932,False,lp
party_5,-60290,False,lp
party_6,-30030,False,lp
party_7,-27038,False,lp
party_8,-50,False,lp
party_9,-12608,False,lp
party_10,-6107,False,lp
party_11,139719,False,lp
party_12,-23240,False,lp
party_13,-82523,False,lp
party_14,6341,False,lp
party_15,8826,False,lp
party_16,94240,False,lp
party_17,-91081,False,lp
party_18,-35142,False,lp
party_19,15795,False,lp
party_20,70575,False,lp
party_21,-16126,False,lp
party_22,-56006,False,lp
party_23,102124,False,lp
party_24,-13857,False,lp
party_25,-109965,False,lp
party_26,47388,False,lp
party_27,-11955,False,lp
party_28,44152,False,lp
party_29,-56943,False,lp
party_30,78634,False,lp
party_31,-41802,False,lp
party_32,32921,False,lp
party_33,19033,False,lp
party_34,-101632,False,lp
party_35,13341,False,lp
party_36,-18428,False,lp
party_37,131632,False,lp
party_38,-135576,False,lp
party_39,28984,False,lp
party_40,-42986,False,lp
party_41,38512,False,lp
party_42,37945,False,lp
party_43,-24027,False,lp
party_44,5812,False,lp
party_45,21823,False,lp
party_46,78420,False,lp
ind_1,65215,True,lp
ind_2,13372,True,lp
ind_3,-71638,True,lp
ind_4,48444,True,lp
ind_5,18160,True,lp
ind_6,22145,True,lp
party_1,6941,False,mp
party_2,18993,False,mp
party_3,18282,False,mp
party_4,2482,False,mp
party_5,2060,False,mp
party_6,-2525,False,mp
party_7,-686,False,mp
party_8,3013,False,mp
party_9,-83,False,mp
party_10,-2903,False,mp
party_11,3757,False,mp
party_12,-478,False,mp
party_13,217,False,mp
party_14,-1677,False,mp
party_15,-1049,False,mp
party_16,52,False,mp
party_17,2712,False,mp
party_18,-4755,False,mp
party_19,3335,False,mp
party_20,1977,False,mp
party_21,-2617,False,mp
party_22,747,False,mp
party_23,-548,False,mp
party_24,1133,False,mp
party_25,-1571,False,mp
party_26,2976,False,mp
party_27,-1269,False,mp
party_28,-482,False,mp
party_29,320,False,mp
party_30,-315,False,mp
party_31,219,False,mp
party_32,-2136,False,mp
party_33,-1146,False,mp
party_34,2685,False,mp
party_35,-2546,False,mp
party_36,3556,False,mp
party_37,-1508,False,mp
party_38,-1228,False,mp
party_39,-1439,False,mp
party_40,2986,False,mp
party_41,-1379,False,mp
party_42,1379,False,mp
party_43,-2600,False,mp
party_44,3522,False,mp
party_45,-3517,False,mp
party_46,4957,False,mp
ind_1,928818,True,mp
ind_2,-871710,True,mp
ind_3,1102663,True,mp
ind_4,-74527,True,mp
ind_5,-800039,True,mp
ind_6,936930,True,mp
party_1,341396,False,nw
party_2,-301647,False,nw
party_3,328868,False,nw
party_4,39144,False,nw
party_5,-22237,False,nw
party_6,1870,False,nw
party_7,8916,False,nw
party_8,15235,False,nw
party_9,-16599,False,nw
party_10,20563,False,nw
party_11,-30610,False,nw
party_12,7342,False,nw
party_13,-303,False,nw
party_14,-12833,False,nw
party_15,12086,False,nw
party_16,-17334,False,nw
party_17,37981,False,nw
party_18,-32743,False,nw
party_19,34684,False,nw
party_20,-25900,False,nw
party_21,-14830,False,nw
party_22,25289,False,nw
party_23,-16153,False,nw
party_24,610,False,nw
party_25,8017,False,nw
party_26,-21893,False,nw
party_27,16720,False,nw
party_28,-16967,False,nw
party_29,45726,False,nw
party_30,-37064,False,nw
party_31,19982,False,nw
party_32,-20549,False,nw
party_33,-6025,False,nw
party_34,42122,False,nw
party_35,-27499,False,nw
party_36,22829,False,nw
party_37,-34956,False,nw
party_38,10413,False,nw
party_39,31357,False,nw
party_40,-41265,False,nw
party_41,-4,False,nw
party_42,12908,False,nw
party_43,-728,False,nw
party_44,1879,False,nw
party_45,19457,False,nw
party_46,8275,False,nw
ind_1,118033,True,nw
ind_2,48893,True,nw
ind_3,403633,True,nw
ind_4,-138825,True,nw
ind_5,-58514,True,nw
ind_6,205470,True,nw
party_1,141339,False,nc
party_2,80558,False,nc
party_3,130745,False,nc
party_4,1062,False,nc
party_5,28864,False,nc
party_6,-23697,False,nc
party_7,-1597,False,nc
party_8,34424,False,nc
party_9,-35460,False,nc
party_10,40647,False,nc
party_11,-38075,False,nc
party_12,36395,False,nc
party_13,-35002,False,nc
party_14,697,False,nc
party_15,8358,False,nc
party_16,10118,False,nc
party_17,-20363,False,nc
party_18,19698,False,nc
party_19,-11700,False,nc
party_20,-1459,False,nc
party_21,-4967,False,nc
party_22,4256,False,nc
party_23,3529,False,nc
party_24,7547,False,nc
party_25,-16537,False,nc
party_26,9175,False,nc
party_27,19327,False,nc
party_28,-16117,False,nc
party_29,15406,False,nc
party_30,-24362,False,nc
party_31,387,False,nc
party_32,6706,False,nc
party_33,-13448,False,nc
party_34,24212,False,nc
party_35,-739,False,nc
party_36,-385,False,nc
party_37,-25295,False,nc
party_38,4017,False,nc
party_39,1145,False,nc
party_40,20372,False,nc
party_41,-15526,False,nc
party_42,-1024,False,nc
party_43,3329,False,nc
party_44,6201,False,nc
party_45,7327,False,nc
party_46,17434,False,nc
ind_1,9352,True,nc
ind_2,3694,True,nc
ind_3,-4612,True,nc
ind_4,-5844,True,nc
ind_5,-1527,True,nc
ind_6,12257,True,nc
party_1,790756,False,wc
party_2,71999,False,wc
party_3,163984,False,wc
party_4,9111,False,wc
party_5,28999,False,wc
party_6,-21721,False,wc
party_7,105788,False,wc
party_8,-80750,False,wc
party_9,38152,False,wc
party_10,-50833,False,wc
party_11,94137,False,wc
party_12,-34997,False,wc
party_13,19255,False,wc
party_14,-107024,False,wc
party_15,125691,False,wc
party_16,-13587,False,wc
party_17,-27750,False,wc
party_18,28142,False,wc
party_19,-99379,False,wc
party_20,116363,False,wc
party_21,-25733,False,wc
party_22,-50423,False,wc
party_23,-52595,False,wc
party_24,10108,False,wc
party_25,68285,False,wc
party_26,34450,False,wc
party_27,-67175,False,wc
party_28,41722,False,wc
party_29,9343,False,wc
party_30,31065,False,wc
party_31,-122175,False,wc
party_32,23636,False,wc
party_33,11996,False,wc
party_34,22222,False,wc
party_35,27599,False,wc
party_36,-33855,False,wc
party_37,-8691,False,wc
party_38,-3789,False,wc
party_39,-8611,False,wc
party_40,67611,False,wc
party_41,22947,False,wc
party_42,-59950,False,wc
party_43,36953,False,wc
party_44,-26060,False,wc
party_45,32434,False,wc
party_46,19759,False,wc
ind_1,566821,True,wc
ind_2,221439,True,wc
ind_3,-786343,True,wc
ind_4,280845,True,wc
ind_5,273780,True,wc
ind_6,398219,True,wc
