party,votes,is_ind,region
party_9,2711,False,kzn
party_10,12131,False,kzn
party_11,15942,False,kzn
party_12,1677,False,kzn
party_13,4467,False,kzn
party_14,6827,False,kzn
party_15,9649,False,kzn
party_16,19275,False,kzn
party_17,9349,False,kzn
party_18,5846,False,kzn
party_19,1255,False,kzn
party_20,7217,False,kzn
party_21,3412,False,kzn
party_22,10762,False,kzn
party_23,136,False,kzn
party_24,3570,False,kzn
party_25,183,False,kzn
party_26,8776,False,kzn
party_27,18403,False,kzn
party_28,1462,False,kzn
party_29,2168,False,kzn
party_30,10629,False,kzn
party_31,18648,False,kzn
party_32,15326,False,kzn
party_33,7419,False,kzn
party_34,637,False,kzn
party_35,657,False,kzn
party_36,2105,False,kzn
ind_1,1838768,True,kzn
party_1,5465,False,lp
party_2,5627,False,lp
party_3,449,False,lp
party_4,76,False,lp
party_5,106,False,lp
party_6,12,False,lp
party_7,26,False,lp
party_8,15,False,lp
party_9,33,False,lp
party_10,21,False,lp
party_11,6,False,lp
party_12,22,False,lp
party_13,21,False,lp
party_14,69,False,lp
party_15,89,False,lp
party_16,24,False,lp
party_17,27,False,lp
party_18,25,False,lp
party_19,7,False,lp
party_20,5,False,lp
party_21,85,False,lp
party_22,23,False,lp
party_23,63,False,lp
party_24,56,False,lp
party_25,80,False,lp
party_26,15,False,lp
party_27,6,False,lp
party_28,30,False,lp
party_29,101,False,lp
party_30,70,False,lp
party_31,1,False,lp
party_32,133,False,lp
party_33,40,False,lp
party_34,150,False,lp
party_35,138,False,lp
party_36,61,False,lp
ind_1,1497391,True,lp
party_1,51275,False,mp
party_2,37064,False,mp
party_3,55163,False,mp
party_4,1429,False,mp
party_5,1647,False,mp
party_6,120,False,mp
party_7,673,False,mp
party_8,499,False,mp
party_9,637,False,mp
party_10,1298,False,mp
party_11,359,False,mp
party_12,680,False,mp
party_13,1506,False,mp
party_14,1510,False,mp
party_15,39,False,mp
party_16,406,False,mp
party_17,288,False,mp
party_18,211,False,mp
party_19,2215,False,mp
party_20,56,False,mp
party_21,1451,False,mp
party_22,109,False,mp
party_23,118,False,mp
party_24,140,False,mp
party_25,246,False,mp
party_26,506,False,mp
party_27,71,False,mp
party_28,123,False,mp
party_29,10,False,mp
party_30,570,False,mp
party_31,901,False,mp
party_32,96,False,mp
party_33,929,False,mp
party_34,171,False,mp
party_35,284,False,mp
party_36,1036,False,mp
ind_1,1108143,True,mp
party_1,40091,False,nw
party_2,18531,False,nw
party_3,342896,False,nw
party_4,369,False,nw
party_5,333,False,nw
party_6,672,False,nw
party_7,3833,False,nw
party_8,338,False,nw
party_9,1554,False,nw
party_10,288,False,nw
party_11,1779,False,nw
party_12,829,False,nw
party_13,79,False,nw
party_14,8060,False,nw
party_15,695,False,nw
party_16,2270,False,nw
party_17,1570,False,nw
party_18,3702,False,nw
party_19,1033,False,nw
party_20,30,False,nw
party_21,154,False,nw
party_22,359,False,nw
party_23,7275,False,nw
party_24,1674,False,nw
party_25,6565,False,nw
party_26,1555,False,nw
party_27,926,False,nw
party_28,514,False,nw
party_29,3523,False,nw
party_30,993,False,nw
party_31,14,False,nw
party_32,1179,False,nw
party_33,2587,False,nw
party_34,1096,False,nw
party_35,731,False,nw
party_36,315,False,nw
ind_1,535808,True,nw
party_1,134750,False,nc
party_2,3274,False,nc
party_3,86236,False,nc
party_4,420,False,nc
party_5,466,False,nc
party_6,211,False,nc
party_7,668,False,nc
party_8,273,False,nc
party_9,69,False,nc
party_10,1809,False,nc
party_11,1116,False,nc
party_12,682,False,nc
party_13,508,False,nc
party_14,2547,False,nc
party_15,1650,False,nc
party_16,988,False,nc
party_17,1888,False,nc
party_18,491,False,nc
party_19,1724,False,nc
party_20,46,False,nc
party_21,247,False,nc
party_22,1648,False,nc
party_23,143,False,nc
party_24,682,False,nc
party_25,718,False,nc
party_26,842,False,nc
party_27,2888,False,nc
party_28,960,False,nc
party_29,2433,False,nc
party_30,787,False,nc
party_31,2587,False,nc
party_32,1118,False,nc
party_33,376,False,nc
party_34,66,False,nc
party_35,585,False,nc
party_36,142,False,nc
ind_1,154804,True,nc
party_1,179309,False,wc
party_2,631759,False,wc
party_3,878093,False,wc
party_4,3072,False,wc
party_5,9847,False,wc
party_6,19129,False,wc
party_7,1064,False,wc
party_8,2074,False,wc
party_9,3767,False,wc
party_10,4082,False,wc
party_11,7507,False,wc
party_12,850,False,wc
party_13,18924,False,wc
party_14,11388,False,wc
party_15,2372,False,wc
party_16,570,False,wc
party_17,7092,False,wc
party_18,3469,False,wc
party_19,4213,False,wc
party_20,27862,False,wc
party_21,8768,False,wc
party_22,7984,False,wc
party_23,941,False,wc
party_24,1474,False,wc
party_25,14353,False,wc
party_26,197,False,wc
party_27,9151,False,wc
party_28,1191,False,wc
party_29,12655,False,wc
party_30,2542,False,wc
party_31,3348,False,wc
party_32,23179,False,wc
party_33,16108,False,wc
party_34,5019,False,wc
party_35,3145,False,wc
party_36,2013,False,wc
ind_1,183659,True,wc
