n_parties,n_inds,n_large_parties,perc_large_votes
44,6,1,0.9623956593484674
34,5,1,0.9193762213106399
33,5,4,0.7569934352419627
32,3,3,0.8222155309253486
49,5,6,0.8703385773279448
39,5,2,0.7812585074100593
39,12,1,0.6642731360296544
42,4,6,0.6793117988331473
41,3,4,0.8233025847829685
38,7,5,0.8970069355610503
44,5,6,0.8323657099985258
46,4,1,0.8473091689973004
37,4,1,0.8713986163063123
35,5,4,0.9669532202407927
35,5,2,0.7927782252030562
40,5,2,0.8406333565804702
37,6,1,0.8641296330694271
39,7,3,0.8338183464836623
52,4,1,0.9363886810574052
42,3,2,0.9013324955679699
42,4,5,0.8466878439950957
39,6,0,
44,6,5,0.9108159007381301
35,6,2,0.9791540879258246
31,4,3,0.8790989053231445
46,5,4,0.9313877482655385
35,4,0,
38,9,1,0.7809145044434399
38,5,3,0.8286364477705627
37,6,1,0.8784650326131372
44,4,4,0.90429699676877
50,2,0,
48,3,3,0.7384350128326291
29,7,6,0.7933075071923603
36,5,2,0.8933531935395301
33,7,4,0.986795723930092
35,3,3,0.7915108258212262
44,2,4,0.878749879198265
35,6,4,0.745563789863354
42,5,3,0.922493612626992
43,8,3,0.8297805481870107
39,5,1,0.9201224569614026
41,6,0,
53,4,0,
45,2,4,0.8765808714438005
43,2,4,0.9731482620787039
50,7,3,0.9395049893132267
38,5,3,0.8083905174485024
36,5,6,0.882670140787464
44,4,6,0.7784512195877422
41,6,2,0.9298684050362295
40,4,4,0.8112537863910741
44,8,1,0.8828761479777458
40,4,1,0.9408934612309008
33,3,4,0.8367876685018467
38,4,4,0.8672373892803379
36,5,2,0.9223761388480453
31,5,5,0.8498569465252654
41,3,1,0.7690070268194749
48,4,3,0.8362251983056163
35,3,3,0.8029091338615504
31,3,4,0.7709753540337148
41,5,6,0.8725429319195588
28,6,3,0.9208784144415881
38,9,6,0.6357590977771082
41,2,7,0.963781858598794
36,3,4,0.9393198616848575
40,4,5,0.8767918277058873
42,2,1,0.9868947062603147
42,6,4,0.8219580944308127
47,3,1,0.8121112795676434
43,6,2,0.9542742266089814
44,5,6,0.8187553797706806
44,2,5,0.9027517906693939
37,7,0,
31,6,3,0.8876198346711175
55,9,1,0.9652800262802609
44,4,4,0.7441064489073561
41,6,1,0.8388118816243892
50,3,2,0.8130984813753575
24,3,4,0.9842367711680151
39,6,2,0.9400081336587114
35,5,5,0.7493358310878373
45,6,4,0.8856053421267196
44,4,3,0.950361330156186
39,7,4,0.9054754710373261
44,8,1,0.9895434632071148
33,5,3,0.8954237138908538
37,3,2,0.8697133349255044
32,4,1,0.8822282305861975
36,9,3,0.8443004786734303
47,5,0,
37,6,3,0.9751736025607182
32,5,4,0.760589532630576
43,8,3,0.9095202009600555
39,4,4,0.8225007152015286
43,7,2,0.9732675312173975
32,6,1,0.7100269898910976
41,3,1,0.9177280960434541
44,7,4,0.9230707513915789
37,4,0,
45,6,1,0.9074307263328003
31,4,3,0.8527333260436881
37,8,5,0.8888223603645115
42,4,3,0.8944895755284421
47,5,1,0.8973070321800547
43,5,3,0.7002753805155773
39,5,3,0.8574304149229873
39,4,2,0.810175285885326
30,3,6,0.9373154890437759
40,4,3,0.8613246769978414
33,6,4,0.9043031864095591
45,4,5,0.872507553188788
44,6,3,0.897147752895703
46,4,3,0.9378496678614225
38,7,3,0.7799945589445232
37,3,2,0.8515937784287451
55,7,1,0.8430993118916167
46,4,3,0.8916444873317807
35,3,1,0.7969567297640247
40,6,3,0.8186548727129221
37,5,2,0.8510460727265703
34,5,2,0.8221365212132029
40,7,2,0.9890110496192535
36,3,4,0.8310080840061862
41,5,2,0.7339613395568675
36,5,2,0.9369979524067985
35,5,6,0.8323660338455696
55,9,3,0.9202068567580168
35,5,3,0.8435645490907369
48,4,2,0.9752497695946412
35,7,1,0.9836756604682324
35,9,2,0.7849138125975889
47,7,5,0.742416889328815
45,8,1,0.6881922500981333
51,4,4,0.7385045380576811
47,2,2,0.917074726706089
30,5,0,
39,5,4,0.8891076834828875
46,3,2,0.9671251601950764
35,10,1,0.7475606666272705
47,1,1,0.9717373501831786
31,4,5,0.94444249248172
44,4,2,0.8438278331059397
53,3,3,0.9464134241071099
33,2,2,0.829346063117341
33,3,2,0.7740312711649993
39,3,1,0.8815411575631895
39,5,1,0.9023767870061794
50,4,5,0.9469053568073184
47,5,3,0.8873972688449273
40,4,3,0.8054340046027033
39,4,1,0.9582610715390855
38,6,7,0.9185056289219894
43,4,3,0.7584766260063948
40,4,1,0.9632254314192873
42,5,5,0.9434032887447755
36,3,5,0.7116783915613201
30,5,3,0.9277218717424216
42,7,8,0.8333555805411239
48,7,3,0.9284663371516214
36,8,3,0.9331114039478722
47,9,3,0.8779363116294935
35,2,2,0.7924866663803982
40,2,3,0.9887876627620357
30,2,3,0.8418347981830281
34,5,4,0.8250596368367041
42,4,6,0.9005498079367101
33,6,4,0.9670158804107254
37,6,1,0.8665389763100331
33,5,2,0.9690197035341037
41,4,3,0.9072248102846135
58,6,4,0.8781640388977716
30,10,2,0.8745332829392491
33,7,5,0.9043921721042065
27,2,3,0.7967809512876601
46,4,2,0.7297687401864215
39,3,2,0.6988951814086554
46,7,1,0.594089309568721
32,6,1,0.8832420287926923
41,4,3,0.8772398480688893
38,7,3,0.9705305446179329
54,3,4,0.9747147732806808
32,4,4,0.7712386443668483
44,6,3,0.986302153368517
37,5,0,
38,4,4,0.81269765245054
34,7,2,0.7496419961050701
43,11,6,0.8544461943016145
47,5,3,0.7426166062550996
30,4,3,0.9206566103482622
31,5,7,0.9264692515768038
52,4,1,0.9458811176244954
42,2,2,0.9108034809441171
39,5,1,0.8526385998179756
34,6,1,0.8955463994839583
48,8,2,0.9870998784994924
45,6,2,0.9238991064981632
39,2,4,0.9463377514781437
43,5,9,0.9173526442457479
51,4,3,0.8513484130693669
38,5,2,0.897033559173352
31,5,2,0.9626696208587139
33,2,3,0.9217414773594178
46,6,1,0.9682222346961753
34,5,3,0.9466527666037967
42,5,6,0.8352911565336142
31,3,1,0.9050212683119119
44,3,7,0.9890440706187494
40,5,1,0.9059361338910691
34,12,4,0.7611640870995563
36,3,3,0.8901004039082839
42,6,2,0.6386058945580468
35,5,2,0.8563789606623494
32,4,4,0.8666502471783951
48,7,0,
49,4,3,0.8225551639748554
36,6,7,0.9314877356614526
34,6,4,0.7998584572237959
39,6,1,0.7564216957736534
41,6,5,0.8700503134466182
38,12,7,0.8757959672169797
44,3,2,0.8115641751660623
42,5,4,0.9214411111830897
35,8,4,0.9124333547129256
35,6,1,0.6836578106627882
43,4,2,0.9216585404469806
44,10,0,
40,4,2,0.9528357570604951
51,6,3,0.9866546035494899
41,5,4,0.8735889061637049
34,5,3,0.9503967319973055
34,8,2,0.9827279249870863
30,7,2,0.9118254333980141
41,3,2,0.8720200010065284
41,5,3,0.7622378139233462
43,4,4,0.707487802153203
43,8,4,0.8726395223157228
52,3,6,0.9711266022993803
44,4,4,0.7750481595123266
45,2,3,0.9074195929233035
42,7,4,0.8095891868904855
43,5,0,
37,3,0,
42,5,1,0.9863519515078182
47,9,1,0.920674129174205
47,6,4,0.9737510391364601
50,2,2,0.7883590713093949
45,5,3,0.8504286776741494
42,3,3,0.8065217067024995
38,4,0,
28,8,2,0.8929586239422345
38,6,3,0.8414778575576952
33,6,2,0.9343028606826449
42,4,3,0.8311552136853148
40,5,4,0.9049466620352857
44,5,2,0.9616328024804333
40,2,3,0.899840296006386
40,9,4,0.8995281534109583
39,4,4,0.9179072568464837
51,4,1,0.7974411037705144
33,6,2,0.8560378865404135
38,8,3,0.9660106710647131
39,6,6,0.9263020877628363
34,5,2,0.8672994645168384
38,7,1,0.915543005528222
42,3,0,
47,5,2,0.8532573163428986
30,7,3,0.915871037831726
34,8,4,0.8591310419743743
33,8,1,0.911487476906167
43,8,1,0.8765974060227641
37,4,2,0.7677764477903688
41,5,3,0.978934283769763
38,4,4,0.871102696625828
39,3,2,0.9348935161984088
33,2,6,0.9147573666309188
48,7,3,0.85202088647437
45,5,3,0.7628697760866676
43,3,2,0.7485260598032284
40,4,6,0.9334941631305529
31,3,1,0.8804109062328095
39,7,3,0.968727510358599
53,8,3,0.8388821434608064
38,4,1,0.9828255907538593
35,6,1,0.8611724694223551
40,7,4,0.8334514274235585
42,5,2,0.9335271122837538
43,3,3,0.9127446634037614
31,2,4,0.8544502969746974
54,4,5,0.8924301636431577
38,8,6,0.9438611482164171
42,3,2,0.8746918420640692
44,4,4,0.9289726863817409
37,4,4,0.8101102060828378
44,5,3,0.8774296657461608
41,5,1,0.9437118313234548
45,6,4,0.9347735556566237
50,2,6,0.7799366855302423
38,2,4,0.9496390698268662
48,8,3,0.895278724884723
31,4,4,0.8731610765385492
44,2,2,0.9354710060690653
41,5,4,0.6250049034285527
37,4,3,0.9043042098948192
45,4,8,0.7910508905099584
41,3,2,0.9704032577132832
45,6,5,0.8268432235202665
53,7,4,0.9107511857887544
39,5,2,0.8411960079150103
34,5,1,0.9808852793909046
42,4,3,0.8210305462738288
38,11,1,0.9735050561597928
41,8,3,0.6846847537701284
43,6,3,0.863465854949959
36,4,3,0.8227817950723241
51,1,3,0.9642558573554152
44,4,4,0.6867702867593121
39,4,0,
41,3,4,0.974730476541839
30,3,2,0.8204595067080362
36,3,2,0.8216041188421561
47,4,5,0.7877298863258227
47,5,2,0.8824898108416669
41,3,5,0.9406183760457045
31,2,2,0.8870778446128735
37,4,3,0.9310189785682361
29,8,4,0.7379974753383308
35,6,4,0.8069410588257815
30,6,5,0.7699182729003391
42,4,2,0.8892682880960512
41,6,4,0.7312546274383437
45,4,2,0.940224749398159
32,3,5,0.8682219633066318
38,8,3,0.8686868650073926
44,5,1,0.7543766805964668
44,11,3,0.8271317870296587
44,6,3,0.9144776190747947
37,5,5,0.9279435166227241
43,5,1,0.8708564444110986
34,7,3,0.8889799653682666
43,3,3,0.7498073001966981
39,5,2,0.8874618073149793
38,8,3,0.6208298763815336
45,7,4,0.8607706386045128
44,5,1,0.7663264779775237
49,5,3,0.7115559915318859
28,4,2,0.9657569547788923
47,2,1,0.9719664514086338
41,5,5,0.9186937979901366
42,5,1,0.666453962690605
40,7,3,0.986351288079262
32,5,7,0.8175222185704925
33,3,3,0.8998497307533264
44,8,2,0.738539123545115
37,4,7,0.7806704754239336
44,5,4,0.9887054418940115
40,5,1,0.7243619653679649
37,3,4,0.8158394212082704
40,6,3,0.9312464908513056
40,6,2,0.9267346357544207
36,5,1,0.7891620491962965
39,3,3,0.8953928742867279
43,12,4,0.7849964310541656
47,2,3,0.8676661916893528
26,5,3,0.8054339146141726
38,3,3,0.7392318787114063
44,3,4,0.8966666884384952
40,6,1,0.7886604225384162
39,9,4,0.8815395207927956
33,5,4,0.8165809841513434
36,6,0,
23,6,2,0.817582751343252
34,6,2,0.8847789740169772
37,5,2,0.9344611207707099
43,1,1,0.6882617360607339
25,2,3,0.841392880504718
43,3,4,0.9264792155212191
36,8,3,0.8128186211459802
34,2,3,0.9085219741313819
35,5,4,0.8356610787482212
36,4,3,0.8753322789097461
45,5,4,0.8091428030574084
35,2,3,0.9399357640747282
40,8,2,0.9442959636152202
48,3,3,0.8674803222757502
40,4,3,0.741105049879415
35,4,3,0.9151385402738317
39,4,7,0.9288378226940711
36,5,2,0.9026872171192479
38,5,5,0.8622710286044359
34,4,6,0.9177297134553659
41,4,2,0.8399208622688791
46,3,1,0.9171808521424877
43,7,2,0.7149102274937065
35,2,2,0.8539955839024077
37,6,2,0.9379401061136665
36,6,4,0.8234267119327692
43,2,2,0.6918475575493577
40,5,2,0.794205443278195
38,3,2,0.9261343762372937
52,8,2,0.7652500282273004
45,7,0,
41,4,6,0.8885452573885236
43,3,5,0.7541409866540347
34,3,2,0.8451397488962896
46,9,4,0.831281549536205
35,6,0,
33,5,3,0.9433612892610219
37,7,5,0.9518293548116923
36,5,3,0.7287042446441718
33,4,3,0.8946827537146422
44,3,1,0.7418360024997851
54,4,6,0.8815341296997554
48,3,2,0.8499896912782954
30,7,2,0.9719196264579508
32,7,4,0.8763932848966577
47,6,2,0.7236710907111045
39,13,3,0.9414935586971821
30,9,2,0.9586005949649588
36,4,4,0.7164286081233897
31,6,1,0.8496593767951562
28,5,1,0.8365264669385362
29,4,4,0.8861238476208576
35,9,6,0.9053712463046935
36,7,2,0.9288317404654045
35,8,5,0.8765828014412843
47,5,5,0.9075086649990226
42,3,2,0.7525706530807283
43,6,2,0.9232202366730282
41,5,1,0.9769254272774522
35,8,5,0.7816241537352193
37,3,5,0.8726403361959331
43,5,2,0.7375791557597257
45,7,5,0.8077545795204353
40,3,3,0.9734535416933389
38,6,3,0.9277692051715065
34,4,6,0.9317972291462885
44,6,2,0.7797965547884107
39,5,3,0.8996310126023696
36,3,3,0.9361031219146512
42,4,5,0.8611197496164164
37,3,3,0.8221042437984644
33,5,4,0.8594438178280397
40,5,4,0.8423608997690957
43,5,2,0.8164011824290013
36,4,0,
49,9,2,0.934976130224562
44,2,2,0.8620851016543887
43,5,4,0.717833386480849
50,3,2,0.9555396235217065
38,3,1,0.8984980185660542
39,8,1,0.639696725002598
38,3,6,0.8568372443320453
42,3,3,0.9202624122539508
48,2,0,
49,5,3,0.939972312082891
37,3,2,0.896252952620475
51,5,7,0.957554969830381
47,4,3,0.986540522180816
41,5,2,0.6647026810187474
37,5,3,0.8204610320054553
36,4,1,0.8494319374252376
45,5,4,0.9036889084189116
39,6,5,0.7595915598468199
36,7,1,0.8036237849357941
38,3,3,0.9187667155091511
33,5,1,0.9458356186976054
37,7,2,0.8924743345387778
37,6,4,0.900581732278048
42,5,3,0.7587510455912356
41,3,4,0.7974392426782057
31,8,2,0.7560524117164658
36,4,6,0.8434050179172341
43,4,2,0.8028093763507373
37,4,4,0.7588889948936883
45,4,3,0.8102243864024913
45,5,3,0.7492492439286786
53,5,1,0.8625315189630449
40,9,4,0.9411862035844173
33,6,0,
37,6,6,0.924500099305751
41,5,2,0.7909048905414211
42,3,2,0.6978559852937216
45,1,1,0.9148244003307439
38,4,3,0.9100198869411176
37,5,4,0.8659772671294128
35,4,2,0.9112035502519016
53,4,0,
36,4,2,0.9263380668841501
39,8,1,0.9080279307559825
38,8,1,0.7486210474385443
42,5,3,0.9525486272854624
34,5,3,0.8361795471313845
51,3,4,0.8838910336337974
45,3,3,0.9238133541503382
50,5,3,0.9767706336214372
43,3,5,0.8771232303660504
41,5,2,0.9783730328690741
43,1,3,0.7701505993098068
51,2,4,0.8569984840820768
34,3,4,0.9634109726685196
44,2,1,0.7426790088965407
49,4,3,0.894713436769594
49,5,3,0.7653996822384392
41,9,2,0.9614587462033221
32,1,3,0.9893790348731313
55,3,6,0.9499921547074935
44,4,3,0.9508115215964434
35,5,4,0.6714154300095866
42,1,3,0.9801713160451107
47,4,0,
45,6,1,0.7300187919020601
39,8,4,0.9117926896530262
32,8,2,0.9773400786858638
36,3,3,0.8173863782954304
45,4,5,0.8381935411768467
44,6,1,0.9637046562640267
47,3,4,0.8290281990828995
32,4,4,0.8974056317128245
51,8,2,0.7932931584583323
56,3,6,0.9869020230193317
29,5,4,0.9393980150284391
43,8,7,0.7266461773010742
47,5,4,0.7584084391568339
29,2,5,0.9559444734687976
32,7,3,0.8960489801817983
41,6,3,0.8814780029803865
38,6,3,0.770941154437512
42,5,6,0.9062601539461186
39,4,2,0.77505976616243
37,3,7,0.9145053878701679
44,4,1,0.8644085517667777
32,4,2,0.8848025538716713
42,7,4,0.963725380394697
42,7,3,0.7991279111343639
38,4,2,0.821532005197566
40,6,1,0.9631989438470423
35,4,2,0.6976586664194898
44,4,2,0.907868861975171
50,3,2,0.8966417946640607
40,7,4,0.8731573820356542
43,5,4,0.8140017718262746
42,4,1,0.9290901501954077
42,7,1,0.9442773180684372
38,5,1,0.8301051894541196
35,6,0,
32,7,3,0.8541723939106499
45,5,1,0.8496114569612274
43,5,4,0.831037422626505
38,6,2,0.6677808374600143
29,3,0,
43,4,2,0.9565622887439975
32,3,2,0.8946817997748944
47,3,2,0.803083795738361
52,5,2,0.8224367549500202
49,1,3,0.8023008250562838
49,3,5,0.9756116200273471
50,5,7,0.8483695144511606
49,4,6,0.8127709991924742
31,4,2,0.7175095120770767
33,5,3,0.8669608364023911
42,3,0,
44,3,5,0.9200970457703778
25,4,3,0.8582989153479824
50,7,3,0.9861387612783064
38,4,4,0.9140251311673306
35,4,2,0.9590666946538849
31,6,2,0.9455817633565211
42,3,2,0.7240088503137387
49,5,5,0.86002063884128
34,4,4,0.900877691830678
37,5,3,0.9429865530588334
40,3,3,0.7234319259702682
46,8,2,0.8975925775186507
42,7,4,0.5963520216296312
50,5,3,0.8889441460817431
43,4,8,0.769967151835613
51,7,3,0.8551629771150627
41,6,4,0.95307386143507
43,4,4,0.7131446545702524
41,5,6,0.8485177470496421
39,3,2,0.9707772554248535
39,4,1,0.9514862843744587
36,2,8,0.9536185206609457
55,5,4,0.785890177570618
31,7,1,0.9615654988085544
45,4,1,0.9189253813734819
47,3,3,0.8194307267070993
37,8,4,0.8248972345282055
49,5,4,0.8059281249298051
40,5,1,0.9618125805713187
45,5,3,0.8488820201522453
37,7,3,0.8591341471347085
43,5,2,0.7617816755746628
41,5,4,0.7954394601254062
48,6,5,0.8402786836910238
31,4,2,0.8730765455408047
43,5,4,0.7651537057208376
33,5,3,0.6172412258045686
43,2,2,0.8635298867158293
41,7,1,0.9384990060641998
30,5,0,
41,4,3,0.8515500914049834
30,4,4,0.8793163497400378
32,6,1,0.8325842790238671
37,4,6,0.9776441632816042
40,5,2,0.9363799270346311
36,4,3,0.9288328966905142
43,6,1,0.9294489601123079
33,3,0,
38,6,4,0.9030962886515957
35,6,3,0.6504784160429694
38,6,1,0.7944682628559141
51,3,2,0.880320559861068
33,7,4,0.7685006327431019
41,2,3,0.8949753302344121
34,5,3,0.8786394187014289
24,6,1,0.6986477660418606
38,3,3,0.82212822500774
50,4,4,0.8754304515404641
36,8,5,0.8423613975496388
47,6,2,0.8122135398956977
49,6,3,0.9622318101884321
34,2,2,0.8298982988175028
40,7,4,0.9750996984644564
25,7,6,0.854728480429983
33,7,1,0.8798766703462924
47,5,5,0.9703338603644853
37,4,6,0.9157257265885018
33,2,3,0.9286201870157196
39,5,4,0.9190665225053798
39,8,4,0.9555207160815238
36,7,1,0.7103966415799533
45,7,4,0.8608066015020563
46,6,3,0.8750577880532502
38,4,2,0.7216134169202988
40,7,7,0.7014599326747306
47,9,5,0.8615408684616402
34,6,3,0.9146829706465966
32,6,2,0.9099355102190879
50,6,5,0.8168278846814857
45,5,0,
36,2,4,0.9196626974628251
24,3,2,0.7615060003285286
42,8,3,0.7444902653104459
45,8,2,0.8850411995950695
40,3,4,0.7941331041596416
46,3,2,0.8962090118618998
47,2,3,0.9210604334736933
36,9,5,0.8400163445787732
48,1,6,0.9648595899404263
46,3,4,0.7289070932185584
38,12,4,0.7960312791576222
30,10,2,0.897707808144271
43,6,6,0.9334409279607346
46,4,1,0.9537592005682931
50,2,2,0.8592098405730184
38,5,3,0.8739978520277637
49,4,1,0.7880940936092693
32,3,2,0.9069135220484237
37,3,2,0.8846540805847892
35,5,5,0.9258472443762534
39,5,4,0.9844805028347976
46,3,1,0.9218602402068372
45,7,6,0.8526397957216968
36,2,4,0.8943442653736586
41,6,2,0.9332085187413701
42,5,4,0.8431178481311796
51,6,1,0.8706872386081095
41,4,5,0.8569263721033465
35,6,0,
38,4,4,0.7348735168044477
33,7,2,0.7530394448617377
40,6,2,0.8452759579733664
39,3,7,0.8058126279665038
40,7,3,0.8670809725402961
36,9,2,0.9332680142349994
34,4,2,0.8917304834612094
52,2,4,0.8072696910299353
45,6,5,0.6978657643854174
31,8,5,0.874380953070826
34,2,1,0.7392783078494137
33,8,1,0.8775491649827547
44,7,2,0.9819820709539739
41,7,2,0.83848450869183
39,4,2,0.8390892056943686
41,3,4,0.7538530588681294
42,7,1,0.7166262526881095
37,7,1,0.9063064287957922
48,5,3,0.8879018509081203
41,6,5,0.8781279412002101
32,4,4,0.9047592445402124
43,4,1,0.8066446022901039
39,5,5,0.8891737174253105
41,7,4,0.8275366330278677
48,3,1,0.9215167497077679
42,6,4,0.8916392522417698
52,4,4,0.8729272563403532
48,6,3,0.8270874404056539
39,5,7,0.9505477949898143
33,1,2,0.843864852063291
36,5,6,0.9017095245184482
30,6,5,0.9107542092900724
44,6,5,0.7864463120528655
25,5,2,0.9320204881153303
31,3,5,0.8988864525542105
25,9,2,0.838210902333499
37,6,2,0.8383718934228339
41,3,2,0.7750661864717631
44,4,2,0.8770505937963448
41,5,0,
44,4,6,0.8874808886374267
41,5,4,0.9485335887124088
39,8,3,0.7762122407503723
39,4,4,0.9506928647096665
43,9,3,0.808833488841529
42,5,4,0.8928741022738869
47,5,0,
42,5,5,0.8063384611359894
47,7,7,0.9223867291682188
42,2,1,0.7621743105965281
34,4,6,0.9099306495033921
34,7,4,0.9875441962573128
41,3,5,0.8871053168547911
39,5,2,0.9349994017587558
49,5,2,0.8424408324431439
43,2,2,0.9354352119944985
33,5,4,0.9267156620909409
30,5,1,0.7753246465203796
33,1,3,0.7599948781305061
49,6,3,0.8487555886582497
40,7,2,0.7465441181620833
28,3,4,0.793809754033413
41,3,7,0.7493149197905402
39,7,1,0.8021022428858597
43,3,4,0.8962108226946509
37,7,3,0.8869306148359611
39,8,1,0.8925373336606208
38,7,2,0.9883759394276224
40,2,4,0.9077214262009495
44,5,4,0.8415651388275918
43,6,4,0.7947560152125993
41,2,3,0.8461191245594968
39,6,4,0.7226717249092799
38,5,0,
36,4,1,0.8338833416001533
35,6,3,0.9486471939343829
40,3,5,0.7444554590057253
45,10,6,0.9668215356694295
35,6,2,0.842594077069525
53,7,2,0.8111988353523399
42,3,3,0.8146424834239088
33,5,5,0.9136499911933325
41,5,4,0.9035556607039671
40,3,2,0.9138847162467436
38,3,2,0.6525512911903516
41,6,2,0.8247477577741033
34,6,7,0.9685721721350125
35,7,1,0.8504912537595944
41,6,0,
36,4,4,0.9210696244622353
45,2,2,0.8715027973715228
31,5,2,0.8634415537431357
44,4,2,0.8570980433844412
34,5,5,0.8069763132821464
32,9,3,0.8658735932791548
34,7,6,0.9861341162364824
43,5,4,0.8186551832877756
38,5,2,0.8482415860949736
40,3,2,0.9717484801969818
33,8,1,0.9463929038037697
42,8,4,0.8642122406129654
32,8,4,0.9602559165332006
40,2,5,0.8535282913846949
37,7,0,
39,3,6,0.927703257917653
38,5,8,0.8519462382363725
30,2,3,0.8925310935315744
38,7,2,0.9276163873345616
40,6,4,0.7479871747692848
45,3,1,0.8119422642300835
45,3,7,0.9278269055138384
36,3,1,0.8686200683362183
39,3,4,0.8795317922007246
37,5,5,0.7785169257005008
36,5,3,0.6454439293233207
52,6,6,0.8037080081631597
29,5,2,0.8091337849105851
41,3,2,0.8769591383119284
46,3,2,0.7202594409011642
42,4,1,0.9158306566858587
46,6,4,0.7798691859139913
37,2,3,0.8955732958832314
43,9,4,0.8246350062699982
49,2,3,0.9505503183153502
43,8,1,0.9360472182762481
34,5,1,0.8470554263677686
45,7,3,0.7774217161358632
42,4,1,0.7362413211397922
35,4,3,0.7815850778085283
46,3,3,0.8296766171409932
39,4,3,0.8507409294657504
42,7,3,0.8925030473831648
35,7,2,0.8621952958109382
45,4,7,0.8340590266535888
40,4,7,0.9172202877115804
45,5,1,0.7355416717440709
38,6,5,0.9618967395530182
42,6,1,0.9040794672256018
25,6,2,0.8869419175413077
47,8,4,0.9508106821139487
42,3,2,0.9042642318502203
31,8,0,
34,4,5,0.8676067360822055
36,5,4,0.9422446029125222
38,3,7,0.7987994586149254
42,5,6,0.8041069191469503
29,4,4,0.8169274709902185
36,4,1,0.7297928309499765
43,8,3,0.7826147957027793
35,5,4,0.8859965713920553
37,8,2,0.9463595299623758
48,9,3,0.7387236371214155
31,4,1,0.8526747525732177
37,5,2,0.8823001490746948
38,4,2,0.8758036558285959
40,6,5,0.8866296947009945
38,7,2,0.8773169461244107
50,8,3,0.9405132401359878
44,6,3,0.872666865849172
31,4,3,0.8743961015294783
36,3,0,
44,3,2,0.7695462730451386
36,7,4,0.8491840233040533
35,6,5,0.8673575981272076
50,4,5,0.8338010751873959
44,6,3,0.763619518796371
